-0.98,-0.09,0.2,3.84,-1.4,-1.55,65,,
-0.99,-0.11,0.19,1.04,-1.25,-0.58,65,,
-0.99,-0.12,0.19,0.52,-1.07,-1.19,65,,
-0.97,-0.11,0.25,0.06,-0.55,-0.79,65,,
-1,-0.1,0.16,-0.09,-0.7,-0.79,65,,
-0.99,-0.1,0.13,0.18,-0.34,-0.95,65,,
-1,-0.09,0.15,0.76,-0.12,-1.01,65,,
-1,-0.09,0.23,0.73,-0.58,-1.19,65,,
-0.98,-0.11,0.26,0.3,-0.4,-0.98,65,,
-0.96,-0.12,0.16,0.73,0.21,-1.01,65,,
-1,-0.09,0.17,0.55,-0.73,-1.1,65,,
-0.98,-0.12,0.24,0.64,0.55,-1.13,65,,
-0.99,-0.08,0.17,0.24,-0.55,-0.64,65,,
-0.97,-0.12,0.23,-0.12,0.49,-0.52,65,,
-0.97,-0.11,0.14,0.37,0.18,-0.79,65,,
-0.98,-0.11,0.16,0.95,0.37,-1.1,65,,
-0.99,-0.12,0.19,0.61,0.3,-1.01,65,,
-0.99,-0.13,0.19,0.79,0.03,-0.73,65,,
-0.98,-0.11,0.2,0.06,0.21,-0.67,65,,
-0.98,-0.11,0.19,1.01,0.06,-0.3,65,,
-0.99,-0.11,0.19,1.52,-0.15,-1.01,65,,
-0.98,-0.11,0.2,1.1,-0.09,-0.7,65,,
-0.98,-0.11,0.2,0.52,0.12,0.03,65,,
-0.98,-0.1,0.2,0.34,-0.03,-0.03,65,,
-0.98,-0.11,0.2,0.43,-0.3,-0.61,65,,
-0.98,-0.11,0.2,0.73,-0.3,-0.76,65,,
-0.98,-0.11,0.2,0.85,-0.15,-0.34,65,,
-0.98,-0.11,0.2,0.67,0.15,-0.09,65,,
-0.98,-0.1,0.2,-0.15,0.34,-0.55,65,,
-0.98,-0.11,0.2,-0.85,0.37,-0.67,65,,
-0.98,-0.11,0.2,-0.73,0.37,-0.18,65,,
-0.98,-0.11,0.19,-0.43,-0.03,-0.06,65,,
-0.98,-0.11,0.19,-0.34,-0.27,0.18,65,,
-0.99,-0.1,0.19,-0.24,-0.24,0.61,66,,
-0.98,-0.11,0.19,0.21,-0.21,0.03,66,,
-0.98,-0.11,0.2,0.4,-0.3,-0.58,66,,
-0.98,-0.12,0.2,0.46,-0.27,-0.49,66,,
-0.98,-0.11,0.2,0.09,-0.27,0.15,66,,
-0.98,-0.11,0.2,0.03,-0.61,0.27,66,,
-0.98,-0.1,0.2,0.18,-0.61,0.21,66,,
-0.98,-0.1,0.2,0.46,-0.34,0.43,66,,
-0.98,-0.1,0.2,0.79,-0.09,0.09,66,,
-0.98,-0.1,0.2,0.64,0.12,-0.46,66,,
-0.98,-0.11,0.2,0.21,0.24,-0.82,66,,
-0.98,-0.11,0.2,0,0.24,-0.3,66,,
-0.98,-0.1,0.2,0.12,0.21,0.46,66,,
-0.98,-0.11,0.2,0.37,0.18,0,66,,
-0.98,-0.1,0.2,0.52,0.27,-0.34,66,,
-0.99,-0.1,0.2,0.37,0.55,-0.3,66,,
-0.98,-0.11,0.19,0.34,0.58,-0.43,66,,
-0.98,-0.11,0.19,0.27,0.58,-0.7,66,,
-0.98,-0.11,0.19,0.3,0.43,-0.34,66,,
-0.98,-0.11,0.2,0.4,0.49,0.12,66,,
-0.98,-0.1,0.2,0.34,0.24,-0.03,66,,
-0.98,-0.1,0.2,0.37,0.03,-0.4,66,,
-0.98,-0.11,0.2,0.61,-0.09,-0.52,66,,
-0.98,-0.1,0.19,0.82,-0.03,-0.4,66,,
