0.89,-0.26,0.36,3.87,-1.01,-0.52,74,,
0.89,-0.27,0.35,3.2,-0.52,0.64,74,,
0.9,-0.23,0.36,4.91,-0.06,0.37,74,,
0.89,-0.23,0.26,4.94,-0.09,-0.27,74,,
0.9,-0.28,0.46,0.7,0.09,-0.46,74,,
0.88,-0.26,0.43,-2.2,-0.21,-0.61,74,,
0.88,-0.27,0.44,-1.68,-0.85,-1.1,74,,
0.9,-0.29,0.38,1.89,-0.43,-1.4,74,,
0.9,-0.26,0.25,4.42,-0.73,-1.4,74,,
0.87,-0.26,0.41,2.93,-1.4,-1.68,74,,
0.91,-0.28,0.34,1.4,-0.61,-1.4,74,,
0.86,-0.24,0.36,-0.91,-1.46,-1.52,74,,
0.93,-0.27,0.31,0.85,-0.85,-1.25,74,,
0.86,-0.29,0.42,2.38,-0.61,-1.28,74,,
0.89,-0.26,0.25,3.78,-0.82,-0.88,74,,
0.87,-0.25,0.3,2.87,-0.98,-0.95,74,,
0.9,-0.25,0.36,1.28,-0.79,-1.07,74,,
0.89,-0.23,0.32,0.24,-0.85,-0.95,74,,
0.9,-0.23,0.35,-0.43,-0.55,-0.7,74,,
0.89,-0.27,0.34,-0.03,-0.67,-0.12,74,,
0.89,-0.27,0.36,0.37,-0.37,0.24,74,,
0.89,-0.27,0.35,-1.31,-0.06,0.73,74,,
0.88,-0.26,0.36,-3.9,0.06,1.62,74,,
0.87,-0.26,0.35,-5.34,0,2.62,74,,
0.86,-0.26,0.35,-5,-0.34,3.63,74,,
0.87,-0.26,0.35,-3.57,-0.55,4.66,74,,
0.88,-0.26,0.35,-2.2,-1.22,5,74,,
0.9,-0.26,0.36,-2.38,-2.26,5.43,74,,
0.91,-0.25,0.36,-3.66,-3.02,6.65,74,,
0.91,-0.24,0.37,-5.27,-4.36,8.63,74,,
0.89,-0.23,0.37,-7.41,-4.88,11.52,74,,
0.86,-0.21,0.36,-8.63,-4.76,14.09,74,,
0.85,-0.21,0.35,-7.23,-5,15.58,74,,
0.85,-0.21,0.35,-3.93,-5.24,16.59,74,,
0.86,-0.22,0.35,-0.49,-6.1,15.95,74,,
0.87,-0.24,0.37,1.71,-6.71,13.38,74,,
0.88,-0.24,0.38,1.49,-6.68,10.12,74,,
0.87,-0.23,0.37,0.12,-7.23,6.68,74,,
0.86,-0.24,0.36,-0.7,-7.23,3.45,74,,
0.84,-0.24,0.35,-1.37,-6.62,1.55,74,,
0.82,-0.22,0.34,-1.77,-6.34,1.01,74,,
0.81,-0.22,0.32,-0.7,-6.13,0.18,74,,
0.82,-0.24,0.32,2.47,-6.46,-1.77,74,,
0.86,-0.27,0.33,7.41,-7.23,-4.54,74,,
0.9,-0.3,0.33,12.2,-7.32,-7.71,74,,
0.91,-0.3,0.33,14.05,-7.07,-10.46,74,,
0.89,-0.28,0.32,11.37,-6.52,-13.14,74,,
0.89,-0.26,0.31,7.59,-5.85,-16.71,74,,
0.9,-0.28,0.3,7.01,-5.06,-20,74,,
0.96,-0.33,0.31,10.06,-3.99,-22.84,72,,
0.98,-0.33,0.32,11.92,-2.8,-25.46,72,,
0.98,-0.31,0.32,9.05,-0.95,-27.35,72,,
0.94,-0.28,0.32,-0.06,0.85,-28.05,72,,
0.9,-0.27,0.31,-13.14,2.77,-27.01,72,,
0.85,-0.26,0.3,-25.98,5,-24.15,72,,
0.82,-0.27,0.29,-35.12,7.04,-19.82,72,,
0.79,-0.28,0.28,-39.27,8.66,-15.09,72,,
0.77,-0.3,0.27,-38.26,10.67,-11.65,72,,
0.73,-0.3,0.26,-33.54,12.84,-9.24,72,,
0.71,-0.29,0.26,-28.48,15.3,-6.95,72,,
0.68,-0.27,0.27,-25.98,17.71,-4.85,72,,
0.65,-0.25,0.27,-27.84,20.06,-4.7,72,,
0.64,-0.25,0.27,-32.38,22.01,-6.43,72,,
0.65,-0.26,0.25,-36.62,23.57,-9.91,72,,
0.67,-0.28,0.25,-38.93,24.73,-13.93,72,,
